FUNCTIONAL_CLASS_026,Urban,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,YEAR_ADT_030,APPR_WIDTH_MT_032,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,OPERATING_RATING_064,INVENTORY_RATING_066,APPR_ROAD_EVAL_072,TRAFFIC_DIRECTION_102,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,LOWEST_RATING,DECK_AREASQMTS,Latitude,Longitude,PPTIN,TMAXC,TMINC,pc250,scour_critical,waterway_eval,struc_eval,channel_cond,culvert_cond
8,0,1957,2,4540,2014,8.5,3,6.7,8.6,9,37.4,22.4,6,2,0,1,0,6500,2034,7,60.97,34.435883,-87.014219,127.3899994,21.9584999,9.9716101,0.175276,8,6,5,7,1
8,0,2004,2,150,2006,8.5,5,18.3,0,0,71.8,43.1,8,2,0,2,0,250,2036,8,155.55,33.033589,-87.265357,134.8009949,23.9726009,10.5881004,0.1717,8,8,8,8,1
9,0,1999,2,50,2018,7.6,3,6.7,0,0,61.4,36.7,8,2,0,0,0,67,2038,7,50.92,30.351896,-87.503094,132.6080017,24.7161999,14.7277002,0.0485153,8,8,7,8,1
9,0,1984,2,650,1992,8.5,3,14.9,8.5,9,61.8,37,6,2,0,1,0,720,2035,7,131.12,34.45032,-86.282855,126.2289963,21.7868996,9.8488798,0.179374,8,7,7,7,1
9,0,1959,2,310,1993,9.8,4,11,10.4,11,51.9,45.4,6,2,0,1,0,610,2038,7,121,33.54389,-85.464336,131.677002,21.1949005,8.5543404,0.122259,8,6,7,7,1
7,0,1950,2,3010,2006,7.3,4,11,13.3,14,62.4,37.5,7,2,0,5,0,5672,2038,6,152.9,34.270047,-87.052295,132.7850037,21.4125996,9.3261499,0.173771,8,7,6,7,1
6,0,1957,2,5050,2012,7.9,2,8.2,0,0,99,99,7,2,0,1,0,7575,2032,5,64.78,32.515252,-85.081802,112.1549988,24.2770004,11.6606998,0.0745862,8,6,5,6,0
14,1,1991,3,15420,2015,11,3,20.1,0,0,88.9,88.9,8,2,0,9,0,21644,2035,7,221.1,34,-86.0636,131.2910004,22.5837002,9.8289299,0.167718,8,5,7,6,1
9,0,1984,2,110,1992,7.3,4,9.3,17.1,18,88.9,71.1,5,2,0,1,0,150,2035,7,164.61,34.562063,-86.400749,125.5660019,22.0179996,9.4819498,0.177569,8,8,7,6,1
6,0,1929,2,1330,2013,8.8,3,6.4,0,0,55.9,33.6,8,2,1983,22,0,1715,2038,7,56.32,33.392412,-88.045304,141.8179932,23.3402996,10.4469995,0.180884,8,6,7,6,1
7,0,1965,2,315,1993,6.1,3,9.1,0,9,78,46.8,8,2,0,5,0,400,2032,6,83.72,32.2742,-87.2812,123.2829971,24.3290997,11.4841003,0.103476,8,7,6,5,1
7,0,1970,2,450,2018,8.5,3,9.5,0,0,50.4,30.3,8,2,0,5,0,665,2038,7,80.75,31.045569,-85.363782,129.8930054,25.6861992,12.8760004,0.0481567,8,6,7,6,1
9,0,1953,2,200,1993,7,16,15.8,6,6,74.1,44.5,8,2,1993,1,0,260,2038,7,99.54,33.471356,-85.502441,130.3880005,21.6648006,8.8148403,0.118662,8,8,7,7,1
8,0,1992,2,220,1994,9.1,3,6.4,0,0,88.9,61.9,7,2,0,5,0,380,2032,7,58.24,31.212756,-86.251179,134.7740021,25.4643993,12.3253002,0.0534697,8,7,7,7,1
7,0,1991,2,620,2017,13.4,4,9.1,0,0,88.5,53,8,2,0,11,0,620,2037,8,121.94,33.155375,-88.263689,130.7859955,23.6313992,10.8667002,0.187441,8,8,8,8,1
7,0,1928,2,570,2016,5.8,3,9.4,0,11,88.9,70.9,6,2,0,0,0,770,2036,6,106.22,33.191208,-85.584489,122.1719971,23.2390003,9.6926098,0.1058,8,7,6,7,1
6,0,1925,2,6650,2018,7.3,3,6.7,0,0,66.1,39.6,8,2,1995,14,0,8816,2038,6,48.91,33.055376,-86.455737,128.7019958,23.7880993,10.2912998,0.137667,8,7,6,7,1
9,0,2018,2,63,2017,6.1,3,6.7,6.1,6,80.6,48.3,6,2,0,8,0,94,2037,9,40.87,32.193554,-88.223711,127.552002,24.6973,10.9205999,0.112459,8,9,9,9,1
7,0,1952,2,335,2018,7.9,3,9.8,0,0,46.4,27.9,7,2,0,20,0,355,2038,7,77.42,31.594729,-85.263565,131.848999,24.9442005,12.4143,0.0552581,8,6,7,6,1
19,1,1945,2,3175,2017,11.9,3,7.3,9.7,13,59.1,35.4,7,2,0,1,0,4445,2037,6,91.98,34.4218,-86.3624,124.3069992,21.8033009,9.9306698,0.174756,8,7,6,7,1
19,1,1987,2,135,2003,8.5,4,7.9,0,0,46.4,27.9,6,2,0,5,0,160,2028,8,67.15,31.595379,-86.400363,131.3110046,25.2453003,11.3439999,0.0617405,8,7,7,7,1
8,0,2004,2,1055,2003,6.7,4,15.8,0,0,63.9,38.3,8,2,0,25,0,1570,2036,7,105.86,32.210708,-87.504629,128.2070007,24.2987995,11.4521999,0.10519,8,9,7,8,1
7,0,1988,2,880,2017,8.5,4,17.4,0,0,88.9,54,8,2,0,13,0,1320,2037,6,147.9,31.105547,-87.455192,156.526001,25.2063007,12.5255003,0.0616515,8,6,6,6,1
1,0,1975,2,38920,2018,14,3,8.6,0,0,79.4,47.6,8,1,0,17,1,49309,2038,6,120.4,33.1454,-86.4754,128.4889984,24.0020008,10.0198002,0.145748,8,6,6,6,1
7,0,1984,2,1260,2017,6.9,3,7.3,0,0,43.5,32.7,7,2,0,2,0,1500,2037,6,50.37,33.202036,-87.083112,136.8809967,23.7115002,10.7449999,0.173084,8,6,6,6,1
2,0,1953,4,12650,2018,14.8,3,10.4,0,0,88.9,61.4,8,2,0,10,1,16250,2033,7,153.92,34.38211,-87.38594,132.7169952,21.7462006,9.6175098,0.19026,8,4,7,7,1
7,0,1973,2,5800,1991,13.4,4,17.7,0,0,77.3,46.4,7,2,0,10,0,7500,2038,7,237.18,33.425388,-85.521069,129.0500031,22.1511002,8.9876699,0.116488,8,6,7,7,1
1,0,1967,4,29320,2013,24.4,3,15.2,0,0,88.9,71.7,7,2,0,25,1,37146,2033,6,370.88,31.495832,-86.393744,132.3659973,25.2681999,11.6239004,0.0596609,8,7,6,6,1
6,0,1938,2,1540,2013,7.3,3,9.6,0,0,71.6,43,8,2,0,22,0,2099,2036,7,70.08,32.58325,-86.04042,120.4250031,24.0280991,11.2482004,0.0886054,8,6,7,6,1
9,0,1934,2,68,1989,7.3,4,7.3,0,0,32.7,23.6,7,2,1951,0,0,83,2037,6,53.29,34.525988,-85.545034,144.1679993,19.9368992,7.5442801,0.269579,8,7,6,6,1
